GROUP,CONAME,COCODE,DIST,DISTNAME
B. K-8 / 0 - 400,Atlantic,01,570,Brigantine City
B. K-8 / 0 - 400,Atlantic,01,1410,Estell Manor City
B. K-8 / 0 - 400,Atlantic,01,1540,Folsom Boro
B. K-8 / 0 - 400,Atlantic,01,3020,Margate City
B. K-8 / 0 - 400,Atlantic,01,4240,Port Republic City
B. K-8 / 0 - 400,Atlantic,01,5760,Weymouth Twp
C. K-8 / 401 - 750,Atlantic,01,1300,Egg Harbor City
C. K-8 / 401 - 750,Atlantic,01,3480,Mullica Twp
C. K-8 / 401 - 750,Atlantic,01,4800,Somers Point City
C. K-8 / 401 - 750,Atlantic,01,5350,Ventnor City
D. K-8 / 751 +,Atlantic,01,10,Absecon City
D. K-8 / 751 +,Atlantic,01,1690,Galloway Twp
D. K-8 / 751 +,Atlantic,01,1940,Hamilton Twp
D. K-8 / 751 +,Atlantic,01,2680,Linwood City
D. K-8 / 751 +,Atlantic,01,3720,Northfield City
E. K-12 / 0 - 1800,Atlantic,01,590,Buena Regional
F. K-12 / 1801 - 3500,Atlantic,01,1960,Hammonton Town
G. K-12 / 3501 +,Atlantic,01,110,Atlantic City
G. K-12 / 3501 +,Atlantic,01,1310,Egg Harbor Twp
G. K-12 / 3501 +,Atlantic,01,4180,Pleasantville City
H. 7-12 / 9-12,Atlantic,01,1790,Greater Egg Harbor Reg
H. 7-12 / 9-12,Atlantic,01,2910,Mainland Regional
I. CSSD,Atlantic,01,125,Atlantic Co Special Serv
J. County Voc,Atlantic,01,120,Atlantic Co Vocational
K. Charter/Ren,Atlantic,01,6060,Atlantic Community Charter School
K. Charter/Ren,Atlantic,01,6104,Principle Academy Charter School
K. Charter/Ren,Atlantic,01,7410,Charter~tech High School
A. K-6,Bergen,03,1270,Edgewater Boro
A. K-6,Bergen,03,3870,Oradell Boro
A. K-6,Bergen,03,4410,River Edge Boro
A. K-6,Bergen,03,4620,Saddle River School District
B. K-8 / 0 - 400,Bergen,03,80,Alpine Boro
B. K-8 / 0 - 400,Bergen,03,3350,Moonachie Boro
B. K-8 / 0 - 400,Bergen,03,4870,South Hackensack Twp
C. K-8 / 401 - 750,Bergen,03,740,Carlstadt Boro
C. K-8 / 401 - 750,Bergen,03,1380,Englewood Cliffs Boro
C. K-8 / 401 - 750,Bergen,03,2050,Harrington Park Boro
C. K-8 / 401 - 750,Bergen,03,2090,Haworth Boro
C. K-8 / 401 - 750,Bergen,03,2200,Ho Ho Kus Boro
C. K-8 / 401 - 750,Bergen,03,3730,Northvale Boro
C. K-8 / 401 - 750,Bergen,03,3740,Norwood Boro
C. K-8 / 401 - 750,Bergen,03,3850,Old Tappan Boro
C. K-8 / 401 - 750,Bergen,03,4470,Rochelle Park Twp
C. K-8 / 401 - 750,Bergen,03,5880,Woodcliff Lake Boro
D. K-8 / 751 +,Bergen,03,40,Allendale Boro
D. K-8 / 751 +,Bergen,03,930,Closter Boro
D. K-8 / 751 +,Bergen,03,1070,Demarest Boro
D. K-8 / 751 +,Bergen,03,1230,East Rutherford Boro
D. K-8 / 751 +,Bergen,03,1470,Fairview Boro
D. K-8 / 751 +,Bergen,03,1580,Franklin Lakes Boro
D. K-8 / 751 +,Bergen,03,2180,Hillsdale Boro
D. K-8 / 751 +,Bergen,03,2710,Little Ferry Boro
D. K-8 / 751 +,Bergen,03,3060,Maywood Boro
D. K-8 / 751 +,Bergen,03,3330,Montvale Boro
D. K-8 / 751 +,Bergen,03,3760,Oakland Boro
D. K-8 / 751 +,Bergen,03,4430,River Vale Twp
D. K-8 / 751 +,Bergen,03,5330,Upper Saddle River Boro
D. K-8 / 751 +,Bergen,03,5920,Wyckoff Twp
E. K-12 / 0 - 1800,Bergen,03,440,Bogota Boro
E. K-12 / 0 - 1800,Bergen,03,990,Cresskill Boro
E. K-12 / 0 - 1800,Bergen,03,1360,Emerson Boro
E. K-12 / 0 - 1800,Bergen,03,2080,Hasbrouck Heights Boro
E. K-12 / 0 - 1800,Bergen,03,3170,Midland Park Boro
E. K-12 / 0 - 1800,Bergen,03,3910,Palisades Park
E. K-12 / 0 - 1800,Bergen,03,3940,Park Ridge Boro
E. K-12 / 0 - 1800,Bergen,03,4370,Ridgefield Boro
E. K-12 / 0 - 1800,Bergen,03,5410,Waldwick Boro
E. K-12 / 0 - 1800,Bergen,03,5430,Wallington Boro
E. K-12 / 0 - 1800,Bergen,03,5830,Wood-Ridge Boro
F. K-12 / 1801 - 3500,Bergen,03,890,Cliffside Park Boro
F. K-12 / 1801 - 3500,Bergen,03,1130,Dumont Boro
F. K-12 / 1801 - 3500,Bergen,03,1345,Elmwood Park
F. K-12 / 1801 - 3500,Bergen,03,1370,Englewood City
F. K-12 / 1801 - 3500,Bergen,03,1760,Glen Rock Boro
